Timestamp,T_Supply,T_Return,SP_Return,T_Saturation,T_Outdoor,RH_Supply,RH_Return,RH_Outdoor,Energy,Power,delta_h,KPI,T_wb_out,month,day,hour
2019-12-10 08:30:00,24.421666665,20.732498999999997,22.5,17.4199995,8.1,33.316664665,28.5249995,57.0,12.0,4.83,22.713297011534465,2.067356464841779,1.0504299756011974,12,10,8
2019-12-10 09:00:00,24.979999499999998,20.8075,22.5,17.6,8.6,32.8849985,28.205,59.75,12.0,4.8420000000000005,22.294889496487265,2.094155955664948,1.2625412986611244,12,10,9
2019-12-10 09:30:00,25.002499999999998,20.8175,22.5,17.729999499999998,9.6,32.549999,28.1749995,58.0,12.0,4.884,20.768164902217116,2.0938803195494176,1.7033096783411419,12,10,9
2019-12-10 10:00:00,24.624999000000003,20.985,22.5,17.729999499999998,10.6,33.369999,28.5749985,48.75,12.5,4.932,20.504681601228388,2.2358439827094054,2.1560078654264663,12,10,10
2019-12-10 10:30:00,24.542499499999998,21.197499,22.5,17.839999,10.6,34.67,29.074999,46.75,12.0,4.896,21.362245334985957,2.330841395975159,2.159694779380399,12,10,10
2019-12-10 11:00:00,24.744999999999997,21.295,22.5,17.9299995,11.6,34.214998,29.2599995,40.25,12.5,4.896000000000001,21.278854451337715,2.521385955942895,2.599198959032783,12,10,11
2019-12-10 11:30:00,24.9574995,21.604999499999998,22.5,18.1099995,14.1,34.275,28.7749995,32.0,12.0,4.92,19.77064378310559,2.9710581904346967,3.672447389319771,12,10,11
2019-12-10 12:00:00,24.687499000000003,22.1475,22.5,17.519999499999997,15.1,32.694998500000004,27.829999,30.0,12.5,4.926,17.437144671088593,2.922288748017338,4.097581084604395,12,10,12
2019-12-10 12:30:00,24.2749995,22.21,22.5,17.490000000000002,16.1,32.399998499999995,26.744999,33.75,12.5,4.932,13.879339539076781,2.6375560108050937,4.521162082728206,12,10,12
2019-12-10 13:00:00,24.464999499999998,22.325,22.5,17.83,16.1,31.4,25.9349995,29.75,12.0,4.962,14.902210378938543,2.8284933458853785,4.521205450432929,12,10,13
2019-12-10 13:30:00,24.4974995,22.529999,22.5,17.59,16.1,31.3599995,24.759999999999998,31.75,13.0,4.956,14.378859522217944,2.726845246211382,4.521243143257919,12,10,13
2019-12-10 14:00:00,24.604999,22.6249995,22.5,17.3,16.6,31.709999000000003,24.8499995,29.25,12.0,4.938000000000001,14.71070037622827,2.9916735719267207,4.732560196655131,12,10,14
2019-12-10 14:30:00,24.279998999999997,22.5749995,22.5,17.509999999999998,16.6,30.674999,24.374999000000003,29.5,12.5,4.944000000000001,13.52903915092324,2.751430347013221,4.732630185783116,12,10,14
2019-12-10 15:00:00,24.7549995,22.597499,22.5,18.16,16.6,29.915,23.7999995,33.75,12.5,5.01,12.81311863096543,2.606207813312021,4.733057026034048,12,10,15
2019-12-10 15:30:00,24.642499,22.8149995,22.5,17.380000000000003,16.6,29.7949995,23.0,37.25,12.5,4.968,11.519732585340117,2.343044878237591,4.732944850195083,12,10,15
2019-12-10 16:00:00,24.3849995,22.8099995,22.5,17.75,16.6,30.3049995,22.9449995,32.0,12.0,4.962,12.819220116425573,2.6073124172650903,4.732906767287021,12,10,16
2019-12-10 16:30:00,24.099999,22.6724995,22.5,17.529999500000002,15.6,30.419998999999997,23.014999500000002,30.0,12.5,4.95,14.474296791406726,2.577446726611222,4.309459762533441,12,10,16
2019-12-10 17:00:00,24.382499,22.5649995,22.5,17.3199995,14.1,30.514999500000002,23.1599995,33.0,13.0,4.962,16.572365722155432,2.4872277836174668,3.6721547937714893,12,10,17
2019-12-10 17:30:00,24.3649995,22.519999499999997,22.5,17.119999,12.6,31.5049995,23.369999,40.75,12.0,4.8420000000000005,17.534278596608296,2.267346542851099,3.0267918566126393,12,10,17
2019-12-10 18:00:00,24.347499,22.4449995,22.5,16.989999500000003,12.1,32.044999000000004,23.965,50.5,12.5,4.92,16.44085860127276,2.0296616369605878,2.7989891231658777,12,10,18
2019-12-10 18:30:00,23.902499499999998,22.417499499999998,22.5,17.0499995,11.1,33.0749985,24.3149995,50.0,12.0,4.926,17.859685537029982,2.0258960971981224,2.3695719898595065,12,10,18
2019-12-10 19:00:00,23.574999,22.314999999999998,22.5,17.0,10.6,33.3149985,24.6849995,49.0,12.5,4.896000000000001,18.388359423711076,2.0049201460322363,2.1557163963182244,12,10,19
2019-12-10 19:30:00,23.7999995,22.115,22.5,17.039999,9.6,33.6749995,25.175,54.25,12.5,4.914,19.650541584413247,1.9840810554362123,1.7119969267956758,12,10,19
2019-12-10 20:00:00,22.625,21.299999,22.5,18.539999,9.6,35.5599995,26.529999500000002,62.75,6.0,2.508,16.638315531608185,1.6743278640132782,1.6911964764457879,12,10,20
2019-12-10 20:30:00,19.595,19.342499500000002,22.5,19.779998999999997,9.6,38.874998,29.5599995,61.25,0.0,0.0,12.46359883215219,1.2548846221318468,1.6951940143402289,12,10,20
2019-12-10 21:00:00,18.7249995,18.639999500000002,22.5,19.82,8.6,40.289998999999995,30.8549985,57.0,0.0,0.0,13.817292542962365,1.2993116370003492,1.269768693878845,12,10,21
2019-12-10 21:30:00,18.3475,18.29,22.5,19.64,8.6,41.17,31.664999,56.0,0.0,0.0,13.582561989409664,1.2777446263939958,1.2723274769108555,12,10,21
2019-12-10 22:00:00,17.9849995,18.0649995,22.5,19.18,8.1,41.8500005,32.270000499999995,59.0,0.0,0.0,13.457814837217759,1.2225004872607104,1.0450374192689877,12,10,22
2019-12-10 22:30:00,17.6575,17.875,22.5,18.7999995,7.6,42.775,32.829998,54.0,0.0,0.0,14.783511168716636,1.303083452833828,0.8392205704320861,12,10,22
2019-12-10 23:00:00,17.4699995,17.729999499999998,22.5,18.5799995,8.6,43.289999,33.539998999999995,55.0,0.0,0.0,12.803976731382761,1.2049698855978856,1.27479454801197,12,10,23
2019-12-10 23:30:00,17.3525,17.597499999999997,22.5,18.380000000000003,7.6,43.525,33.989999999999995,62.75,0.0,0.0,13.040858128016291,1.1454000400576057,0.814635213337263,12,10,23
2019-12-11 00:00:00,17.2250005,17.5024995,22.5,18.169999,7.1,43.674999,34.2950005,61.25,0.0,0.0,13.916993508489506,1.183643666544548,0.5978818468764096,12,11,0
2019-12-11 00:30:00,17.1725,17.409999499999998,22.5,18.0199995,7.1,43.749998000000005,34.5199985,63.75,0.0,0.0,13.452943469190721,1.1425992039646584,0.5901649656046102,12,11,0
2019-12-11 01:00:00,17.089999499999998,17.3249995,22.5,17.849999500000003,7.1,43.7699985,34.7449985,65.0,0.0,0.0,13.118364556622378,1.1139553112601726,0.5861247811493504,12,11,1
2019-12-11 01:30:00,17.0249995,17.237499,22.5,17.71,7.1,43.819998,34.8199995,58.25,0.0,0.0,14.077722334258205,1.2000820362638864,0.6063671992015327,12,11,1
2019-12-11 02:00:00,16.9625,17.1725,22.5,17.5699995,7.6,43.869999,34.9199985,59.0,0.0,0.0,13.029634433183801,1.1462254579567799,0.8256987009913401,12,11,2
2019-12-11 02:30:00,16.91,17.0925,22.5,17.470000499999998,7.1,43.9349995,35.0,60.0,0.0,0.0,13.615545118841323,1.1589798248054364,0.6015585541101838,12,11,2
2019-12-11 03:00:00,16.839999499999998,17.04,22.5,17.349999500000003,6.6,43.979997499999996,35.0599995,60.0,0.0,0.0,14.324517846019585,1.1835570392148855,0.3802521805292267,12,11,3
2019-12-11 03:30:00,16.7599995,16.959999,22.5,17.2599995,6.6,43.969997,35.164999,60.0,0.0,0.0,14.174551970329599,1.1711661741454389,0.3802521805292267,12,11,3
2019-12-11 04:00:00,16.705,16.8999995,22.5,17.159999499999998,6.3,43.9849985,35.209999499999995,60.0,0.0,0.0,14.56039733965214,1.180551022652442,0.24581149502574418,12,11,4
2019-12-11 04:30:00,16.6475,16.852499,22.5,17.0599995,5.3,43.909998,35.189999,57.0,0.0,0.0,16.44904058146885,1.259723156616606,-0.1951526504351393,12,11,4
2019-12-11 05:00:00,16.6174995,16.8050005,22.5,16.979999499999998,5.3,43.7800005,35.1399995,62.0,0.0,0.0,15.654801782632923,1.1955241550100224,-0.2110744690856281,12,11,5
2019-12-11 05:30:00,16.585,16.752499999999998,22.5,16.91,6.8,43.66,35.119999,64.0,0.0,0.0,12.826314306535014,1.0709329275676471,0.45667245866038364,12,11,5
2019-12-11 06:00:00,18.654999500000002,18.415,22.5,17.1499995,5.8,39.119999,31.5749985,61.0,5.0,2.478,17.16557506858541,1.351817765842983,0.01927701096749912,12,11,6
2019-12-11 06:30:00,21.9624995,20.077499500000002,22.5,17.499999,5.8,32.6049985,26.7599995,57.0,12.0,4.872,21.4535959528834,1.6921766852512667,0.031766230376856,12,11,6
2019-12-11 07:00:00,23.6399995,20.289999,22.5,17.699999,6.3,30.76,25.3949995,62.75,12.5,4.896000000000001,22.08723990682355,1.7896243250538677,0.23716963152470205,12,11,7
2019-12-11 07:30:00,24.425,20.4874995,22.5,17.46,6.3,29.984999,24.7399995,65.0,12.0,4.86,22.861179784974233,1.8501104655338323,0.22973764570783128,12,11,7
2019-12-11 08:00:00,24.67,20.6325,22.5,17.459999,5.8,29.7349995,24.1799995,58.25,12.0,4.782,24.992940227074158,1.9703266002254791,0.02784908627238014,12,11,8
2019-12-11 08:30:00,24.557499999999997,20.82,22.5,17.45,5.3,29.6949995,23.8049995,59.0,12.0,4.782,25.44835894453739,1.9479790091205293,-0.20142009703101893,12,11,8
2019-12-11 09:00:00,24.615,20.764999500000002,22.5,17.3900005,5.8,29.96,23.9099995,63.75,12.0,4.836,24.21708721390753,1.9047836983222812,0.010230158104290066,12,11,9
2019-12-11 09:30:00,24.464999,20.654999500000002,22.5,17.470000499999998,7.3,30.714999,24.279998999999997,72.5,12.0,4.866,20.3940951345239,1.747808602596773,0.6495354034512153,12,11,9
2019-12-11 10:00:00,24.644999499999997,20.704999,22.5,17.6999995,7.8,31.665,24.875,75.0,12.0,4.836,19.90135336319438,1.7601534454786645,0.8625833670661107,12,11,10
2019-12-11 10:30:00,24.575000000000003,21.28,22.5,17.5,8.8,32.260000000000005,25.085,67.5,12.5,4.71,19.49631972219626,1.850078782002877,1.3278737270848415,12,11,10
2019-12-11 11:00:00,24.749999000000003,21.732499,22.5,17.639999500000002,9.8,32.5999985,25.205,72.5,12.0,4.926,17.227057199421935,1.7506504961801268,1.7504973611629757,12,11,11
2019-12-11 11:30:00,24.794999,21.989999500000003,22.5,17.3999995,10.3,32.574999,25.354999499999998,67.5,12.5,4.914,17.316666586505473,1.8318433615617677,1.983035426203437,12,11,11
2019-12-11 12:00:00,24.702499,21.987499,22.5,17.96,10.8,32.839998,25.474999500000003,65.0,12.0,4.926,16.808417990309405,1.8500008152090244,2.2077991589280206,12,11,12
2019-12-11 12:30:00,24.697499,22.1224995,22.5,17.729999499999998,10.3,32.695,25.529999500000002,65.0,13.0,4.944,17.654546207316,1.8675749883523767,1.9901490863148692,12,11,12
2019-12-11 13:00:00,24.514999500000002,22.18,22.5,17.569999,10.8,32.39999950000001,25.2,65.0,12.0,4.890000000000001,16.230406628706692,1.7863826037401287,2.2077991589280206,12,11,13
